tier,endpoint,rep,latency_s,http_code
xs,api/ping,1,-1,000
xs,api/ping,2,-1,000
xs,api/ping,3,-1,000
xs,api/ping,4,-1,000
xs,api/ping,5,-1,000
xs,api/ping,6,-1,000
xs,api/ping,7,-1,000
xs,api/ping,8,-1,000
xs,api/ping,9,-1,000
xs,api/ping,10,-1,000
xs,api/ping,11,-1,000
xs,api/ping,12,-1,000
xs,api/ping,13,-1,000
xs,api/ping,14,-1,000
xs,api/ping,15,-1,000
xs,api/ping,16,-1,000
xs,api/ping,17,-1,000
xs,api/ping,18,-1,000
xs,api/ping,19,-1,000
xs,api/ping,20,-1,000
xs,api/ping,21,-1,000
xs,api/ping,22,-1,000
xs,api/ping,23,-1,000
xs,api/ping,24,-1,000
xs,api/ping,25,-1,000
xs,api/ping,26,-1,000
xs,api/ping,27,-1,000
xs,api/ping,28,-1,000
xs,api/ping,29,-1,000
xs,api/ping,30,-1,000
xs,api/health,1,-1,000
xs,api/health,2,-1,000
xs,api/health,3,-1,000
xs,api/health,4,-1,000
xs,api/health,5,-1,000
xs,api/health,6,-1,000
xs,api/health,7,-1,000
xs,api/health,8,-1,000
xs,api/health,9,-1,000
xs,api/health,10,5.088117,200
xs,api/health,11,0.002289,200
xs,api/health,12,0.048890,200
xs,api/health,13,0.002014,200
xs,api/health,14,0.001992,200
xs,api/health,15,0.002004,200
xs,api/health,16,0.003615,200
xs,api/health,17,0.001967,200
xs,api/health,18,0.001934,200
xs,api/health,19,0.001971,200
xs,api/health,20,0.003767,200
xs,api/health,21,0.002086,200
xs,api/health,22,0.002014,200
xs,api/health,23,0.002693,200
xs,api/health,24,0.006400,200
xs,api/health,25,0.003956,200
xs,api/health,26,0.002856,200
xs,api/health,27,0.002203,200
xs,api/health,28,0.001990,200
xs,api/health,29,0.002094,200
xs,api/health,30,0.002039,200
xs,api/products,1,0.124797,200
xs,api/products,2,0.035524,200
xs,api/products,3,0.019239,200
xs,api/products,4,0.074593,200
xs,api/products,5,0.072406,200
xs,api/products,6,0.005699,200
xs,api/products,7,0.049018,200
xs,api/products,8,0.071467,200
xs,api/products,9,0.005159,200
xs,api/products,10,0.056532,200
xs,api/products,11,0.070664,200
xs,api/products,12,0.072868,200
xs,api/products,13,0.005140,200
xs,api/products,14,0.049929,200
xs,api/products,15,0.037595,200
xs,api/products,16,0.021116,200
xs,api/products,17,0.075788,200
xs,api/products,18,0.032028,200
xs,api/products,19,0.022112,200
xs,api/products,20,0.129230,200
xs,api/products,21,0.018446,200
xs,api/products,22,0.072868,200
xs,api/products,23,0.074318,200
xs,api/products,24,0.126272,200
xs,api/products,25,0.020144,200
xs,api/products,26,0.073933,200
xs,api/products,27,0.073732,200
xs,api/products,28,0.072358,200
xs,api/products,29,0.005256,200
xs,api/products,30,0.052348,200
xs,api/checkout,1,3.482540,200
xs,api/checkout,2,1.575402,200
xs,api/checkout,3,1.481516,200
xs,api/checkout,4,1.564348,200
xs,api/checkout,5,1.535535,200
xs,api/checkout,6,1.529645,200
xs,api/checkout,7,1.482035,200
xs,api/checkout,8,3.375477,200
xs,api/checkout,9,1.571794,200
xs,api/checkout,10,1.538457,200
xs,api/checkout,11,1.520190,200
xs,api/checkout,12,1.476690,200
xs,api/checkout,13,3.382856,200
xs,api/checkout,14,2.664049,200
xs,api/checkout,15,1.489218,200
xs,api/checkout,16,1.564493,200
xs,api/checkout,17,1.488285,200
xs,api/checkout,18,1.567528,200
xs,api/checkout,19,1.489748,200
xs,api/checkout,20,1.564339,200
xs,api/checkout,21,1.487143,200
xs,api/checkout,22,1.483606,200
xs,api/checkout,23,3.920452,200
xs,api/checkout,24,1.529055,200
xs,api/checkout,25,1.566032,200
xs,api/checkout,26,1.536912,200
xs,api/checkout,27,3.518205,200
xs,api/checkout,28,1.488520,200
xs,api/checkout,29,1.566813,200
xs,api/checkout,30,1.486446,200
small,api/ping,1,0.358161,200
small,api/ping,2,0.002313,200
small,api/ping,3,0.001971,200
small,api/ping,4,0.001949,200
small,api/ping,5,0.001979,200
small,api/ping,6,0.002032,200
small,api/ping,7,0.001961,200
small,api/ping,8,0.002150,200
small,api/ping,9,0.001981,200
small,api/ping,10,0.001962,200
small,api/ping,11,0.002017,200
small,api/ping,12,0.002124,200
small,api/ping,13,0.001970,200
small,api/ping,14,0.001978,200
small,api/ping,15,0.001953,200
small,api/ping,16,0.001952,200
small,api/ping,17,0.001990,200
small,api/ping,18,0.001999,200
small,api/ping,19,0.002005,200
small,api/ping,20,0.001979,200
small,api/ping,21,0.002113,200
small,api/ping,22,0.002239,200
small,api/ping,23,0.002083,200
small,api/ping,24,0.002054,200
small,api/ping,25,0.001972,200
